"","id","genero","percepseg","victima","confianzacom","confianzapol"
"200",4471,2,3,1,2,7
"201",3121,1,3,2,2,2
"202",8572,2,3,2,2,5
"203",6591,1,2,2,3,5
"204",5482,2,2,2,1,1
"205",2657,1,2,1,3,5
"206",4744,2,1,2,3,3
"207",1598,1,1,2,3,2
"208",6240,2,NA,2,4,4
"209",944,1,2,2,2,5
"210",2787,2,1,2,2,6
"211",3182,2,3,2,2,5
"212",4253,2,1,2,2,6
"213",1637,1,4,2,1,2
"214",628,1,2,2,1,2
"215",2134,2,3,2,4,4
"216",729,1,2,2,2,4
"217",859,1,3,1,2,1
"218",8821,2,4,1,3,6
"219",4582,2,2,2,2,5
"220",9589,1,4,2,2,1
"221",327,2,2,2,2,4
"222",3352,2,3,2,4,1
"223",7050,2,2,2,2,4
"224",708,2,1,2,1,1
"225",2791,1,3,2,4,3
"226",6887,1,2,1,2,1
"227",720,2,2,2,2,2
"228",5263,2,4,2,3,4
"229",7501,1,2,2,2,6
"230",4378,1,2,2,3,1
"231",882,1,3,2,2,4
"232",2177,1,2,2,2,2
"233",6315,2,3,2,2,6
"234",9433,1,3,2,3,6
"235",9032,1,2,1,2,6
"236",7829,2,4,2,4,7
"237",5682,2,4,1,3,3
"238",6877,2,2,2,1,7
"239",8055,2,3,1,3,1
"240",835,2,4,2,2,NA
"241",1389,2,3,2,2,1
"242",7020,2,3,1,2,7
"243",8484,1,3,1,3,1
"244",252,2,4,2,4,3
"245",9559,1,4,2,3,5
"246",1552,1,2,2,4,1
"247",7963,2,1,2,2,6
"248",8002,1,1,2,2,4
"249",9096,1,3,2,2,6
"250",7974,2,3,1,1,6
"251",7815,1,2,2,2,5
"252",9367,1,3,2,2,2
"253",8429,1,3,2,2,6
"254",6363,1,3,2,3,1
"255",9957,1,1,2,2,6
"256",7488,2,3,2,3,5
"257",6306,1,2,1,4,1
"258",5667,2,3,2,4,1
"259",9749,2,4,2,4,1
"260",8433,1,3,2,3,1
"261",9031,1,2,1,2,1
"262",9804,2,3,2,4,1
"263",2879,2,2,2,2,1
"264",8784,1,2,1,2,1
"265",4560,1,3,1,3,1
"266",7910,2,3,2,3,6
"267",1037,2,3,2,3,1
"268",7283,2,3,1,2,4
"269",5046,1,3,2,3,2
"270",2931,2,3,2,NA,1
"271",338,2,2,2,3,4
"272",5965,1,3,2,2,6
"273",2213,1,3,2,3,2
"274",5179,1,2,2,4,1
"275",4399,1,2,2,3,2
"276",6674,2,3,2,3,4
"277",51,1,4,1,3,1
"278",8305,2,2,2,2,1
"279",5082,1,3,2,4,3
"280",7067,1,2,2,3,4
"281",5969,2,2,2,2,3
"282",6050,1,1,2,2,5
"283",8126,2,4,2,3,2
"284",1579,2,1,2,4,1
"285",2203,1,2,2,3,3
"286",8619,2,4,2,2,5
"287",503,2,3,1,2,4
"288",3436,1,3,1,3,1
"289",1387,1,3,2,3,7
"290",7629,1,3,2,2,3
"291",7854,2,4,2,2,3
"292",6972,2,4,2,1,1
"293",4362,1,4,2,2,5
"294",1761,2,3,2,3,3
"295",6298,1,4,1,4,6
"296",4426,1,4,1,4,3
"297",5589,2,3,2,2,7
"298",9438,1,2,2,3,3
"299",7291,2,1,2,3,1
"300",2162,2,4,2,1,7
"301",924,1,2,1,2,5
"302",9115,2,4,1,3,1
"303",5706,2,3,1,2,2
"304",778,2,3,2,2,1
"305",8664,1,2,2,3,1
"306",3779,1,3,1,3,4
"307",9229,2,2,2,3,5
"308",2841,1,2,2,2,1
"309",681,2,2,1,2,3
"310",1400,1,3,2,2,1
"311",6465,1,2,2,2,3
"312",1558,2,1,2,3,7
"313",6347,2,3,2,4,4
"314",5859,2,3,2,3,3
"315",5450,1,2,1,1,1
"316",8223,1,2,1,1,2
"317",6462,1,2,2,3,4
"318",1402,2,2,2,3,5
"319",1324,1,3,2,1,1
"320",7094,1,3,2,1,6
"321",1525,1,1,2,1,2
"322",4499,1,4,1,2,1
"323",850,2,1,2,3,3
"324",7395,2,2,2,3,1
"325",5860,2,2,2,2,5
"326",853,1,3,2,3,5
"327",260,1,3,1,2,3
"328",5551,1,3,2,3,2
"329",3489,2,3,1,3,6
"330",2884,2,4,2,3,4
"331",8003,2,3,2,3,6
"332",8215,2,1,2,3,3
"333",7111,1,2,2,3,3
"334",3574,2,2,2,2,1
"335",5985,2,3,2,1,4
"336",2521,1,4,1,4,1
"337",5685,1,3,2,3,1
"338",6845,2,4,2,4,7
"339",2937,1,4,1,2,3
"340",6201,1,3,1,2,3
"341",1258,1,2,2,2,2
"342",9900,2,4,1,3,1
"343",9972,2,3,1,3,3
"344",8803,1,2,2,2,5
"345",5628,2,3,1,3,1
"346",1216,1,4,2,4,1
"347",8703,1,2,2,2,4
"348",2139,1,4,2,3,1
"349",6226,1,4,1,4,4
"350",6975,2,4,2,4,3
"351",7894,1,4,2,4,2
"352",735,2,4,1,3,5
"353",5903,1,3,2,2,7
"354",9962,2,3,2,2,5
"355",7405,2,4,2,3,2
"356",8288,2,3,1,3,3
"357",5522,2,2,2,3,6
"358",5137,1,4,2,4,5
"359",5565,2,3,2,2,1
"360",6944,1,2,1,2,5
"361",6660,1,4,2,2,3
"362",5315,1,3,1,2,4
"363",7037,2,3,2,2,4
"364",8586,2,3,2,3,5
"365",7344,1,3,1,3,4
"366",5865,2,3,2,3,7
"367",8351,1,3,2,4,3
"368",3921,1,4,1,1,1
"369",6248,NA,3,2,2,4
"370",5431,1,2,1,3,3
"371",7841,2,4,1,1,4
"372",2320,2,4,1,3,3
"373",8434,NA,4,2,4,5
"374",7034,1,2,2,3,5
"375",1498,2,4,1,4,5
"376",6443,2,3,1,1,2
"377",2949,2,3,2,3,4
"378",4877,2,4,2,2,4
"379",7499,2,3,1,3,2
"380",6457,1,4,2,2,5
"381",3115,1,4,1,4,5
"382",2529,1,4,1,2,4
"383",1406,1,2,2,2,3
"384",8948,1,4,1,3,1
"385",4200,1,3,1,2,1
"386",5858,2,3,2,3,5
"387",4809,2,3,2,2,2
"388",393,2,2,2,2,2
"389",1797,1,3,1,3,1
"390",9420,2,4,2,3,6
"391",5106,2,3,2,2,6
"392",7706,1,3,2,2,2
"393",1058,1,3,2,2,2
"394",1372,1,3,1,3,1
"395",9862,2,4,1,3,1
"396",4968,1,3,2,2,6
"397",7771,1,3,2,4,4
"398",8081,1,3,2,3,5
"399",7510,2,2,2,2,7
"400",6309,1,2,2,2,4
"401",8882,2,2,2,2,2
"402",3061,1,2,2,2,4
"403",6587,2,2,2,2,5
"404",6092,2,3,1,3,5
"405",8604,1,2,1,2,4
"406",6658,2,1,2,2,3
"407",2046,1,4,2,3,4
"408",9478,2,4,2,4,4
"409",4104,2,3,1,4,5
"410",8166,1,2,2,2,3
"411",3401,2,3,2,2,5
"412",4060,2,1,2,1,3
"413",4400,1,1,2,2,5
"414",4613,1,3,2,4,4
"415",9784,2,3,1,3,4
"416",8755,2,3,2,3,3
"417",4492,1,3,1,3,1
"418",2080,1,4,1,3,1
"419",933,2,4,1,3,2
"420",5527,2,3,2,2,5
"421",4463,1,2,2,3,5
"422",3900,2,3,2,4,7
"423",6804,2,3,1,4,2
"424",1524,2,2,2,2,4
"425",331,1,4,1,3,1
"426",1513,1,3,2,3,2
"427",8851,2,2,2,2,4
"428",7727,2,2,2,4,1
"429",9073,1,3,2,3,6
"430",5516,1,3,1,3,2
"431",942,1,3,2,3,4
"432",4755,2,2,2,2,4
"433",1432,1,2,2,3,6
"434",1370,1,2,1,2,3
"435",256,1,3,1,2,4
"436",9943,1,1,2,1,5
"437",8273,1,3,1,3,7
"438",7237,2,4,1,4,2
"439",6321,2,4,2,3,3
"440",4512,1,4,2,4,3
"441",4888,2,1,2,1,7
"442",2891,2,4,1,3,4
"443",2663,2,4,2,4,4
"444",3986,2,2,2,2,4
"445",4610,1,2,2,3,7
"446",1906,2,3,2,3,5
"447",9118,1,1,1,1,6
"448",8916,2,2,2,3,2
"449",6386,1,1,2,1,2
"450",6990,2,3,2,3,4
"451",1745,1,3,2,3,1
"452",5564,2,2,2,2,4
"453",2804,2,2,1,2,6
"454",5201,1,3,2,4,2
"455",5810,1,4,1,3,2
"456",9697,2,3,2,2,5
"457",2599,1,4,1,2,5
"458",819,NA,1,2,4,4
"459",1665,1,4,1,4,3
"460",1464,1,2,2,2,4
"461",988,2,3,2,2,5
"462",4883,1,2,2,2,7
"463",9587,1,1,2,4,4
"464",1174,1,2,2,2,4
"465",3060,1,2,2,3,3
"466",5229,2,2,1,3,6
"467",122,1,2,2,3,5
"468",340,2,3,2,3,2
"469",2968,2,3,2,4,2
"470",6573,2,2,2,3,5
"471",8682,2,1,2,4,4
"472",9086,2,4,2,4,1
"473",7392,1,2,2,2,3
"474",2687,1,2,2,1,7
"475",2499,2,2,2,3,6
"476",4776,2,4,2,4,6
"477",8191,2,4,2,4,4
"478",5702,2,2,1,3,4
"479",3993,2,1,2,3,2
"480",8031,2,4,2,1,4
"481",6494,2,2,1,3,5
"482",4622,1,4,2,4,6
